id,timestamp,amount,merchant_id,merchant_name,merchant_category,user_id,location,is_online,is_foreign,num_txn_last_24h,avg_txn_amount_30d,distance_from_home,customer_age_days
txn-demo-001,2024-04-01T09:15:00,45.99,M010,Starbucks,Coffee,CUST1001,New York,false,false,1,38.50,0.5,730
txn-demo-002,2024-04-01T10:30:00,120.00,M002,Walmart,Retail,CUST1002,Los Angeles,false,false,2,95.00,2.1,1200
txn-demo-003,2024-04-01T02:47:00,4850.00,M007,Alibaba,E-commerce,CUST1003,Unknown,true,true,14,62.00,8500.0,5
txn-demo-004,2024-04-01T14:00:00,299.99,M001,Amazon,E-commerce,CUST1004,Seattle,true,false,3,210.00,0.0,540
txn-demo-005,2024-04-01T03:22:00,9999.99,M008,PayPal Transfer,Finance,CUST1005,Unknown,true,true,18,55.00,12000.0,2
txn-demo-006,2024-04-01T11:45:00,67.50,M004,McDonald's,Fast Food,CUST1006,Chicago,false,false,2,55.00,1.2,890
txn-demo-007,2024-04-01T01:15:00,3200.00,M005,Apple Store,Electronics,CUST1007,Unknown,true,true,9,180.00,4200.0,8
txn-demo-008,2024-04-01T16:20:00,89.00,M009,Best Buy,Electronics,CUST1008,Houston,false,false,1,102.00,3.5,365
txn-demo-009,2024-04-02T08:00:00,22.50,M004,McDonald's,Fast Food,CUST1009,Phoenix,false,false,1,25.00,0.8,600
txn-demo-010,2024-04-02T00:05:00,7500.00,M006,Unknown Merchant,Other,CUST1010,Unknown,true,true,22,45.00,15000.0,3
txn-demo-011,2024-04-02T13:30:00,500.00,M005,Apple Store,Electronics,CUST1001,New York,true,false,2,380.00,0.0,730
txn-demo-012,2024-04-02T02:58:00,6700.00,M007,Alibaba,E-commerce,CUST1002,Unknown,true,true,16,95.00,9800.0,1200
txn-demo-013,2024-04-02T10:15:00,35.00,M003,Shell,Gas Station,CUST1003,Dallas,false,false,1,42.00,1.0,400
txn-demo-014,2024-04-02T11:00:00,158.00,M002,Walmart,Retail,CUST1004,Seattle,false,false,3,130.00,2.5,540
txn-demo-015,2024-04-03T04:35:00,12000.00,M008,PayPal Transfer,Finance,CUST1005,Unknown,true,true,25,55.00,20000.0,2
